2023-04-30 12:33:28 | CPU: 1.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:29 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:30 | CPU: 1.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:31 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:32 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:33 | CPU: 3.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 36
2023-04-30 12:33:34 | CPU: 7.9% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:35 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:36 | CPU: 9.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:37 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:38 | CPU: 9.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:39 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:40 | CPU: 1.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:41 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:42 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:43 | CPU: 1.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:44 | CPU: 8.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:45 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:46 | CPU: 1.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:47 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:48 | CPU: 1.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:49 | CPU: 0.0% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:50 | CPU: 0.0% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:51 | CPU: 0.0% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:52 | CPU: 0.0% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:53 | CPU: 1.0% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:54 | CPU: 0.0% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:55 | CPU: 1.0% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:56 | CPU: 0.0% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:57 | CPU: 1.0% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:58 | CPU: 0.0% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:33:59 | CPU: 0.0% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
2023-04-30 12:34:00 | CPU: 1.0% | RAM: 67.6% | Disk IO: 46505 | Network Connections: 41
